question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links,multiple_constraints,numerical_reasoning,post_processing,tabular_reasoning,temporal_reasoning,sum,wiki_len,fold
I am thinking of a Ancient Roman City.  The city was destroyed by volcanic eruption.  The eruption occurred in the year 79 AD.  The volcano was a stratovolcano.    Where was the session held where it was decided that the city would be named a UNESCO world heritage site?,Naples,https://en.wikipedia.org/wiki/Stratovolcano,https://en.wikipedia.org/wiki/Eruption_of_Mount_Vesuvius_in_79_AD,https://en.wikipedia.org/wiki/Pompeii,https://en.wikipedia.org/wiki/World_Heritage_Committee,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Stratovolcano', 'https://en.wikipedia.org/wiki/Eruption_of_Mount_Vesuvius_in_79_AD', 'https://en.wikipedia.org/wiki/Pompeii', 'https://en.wikipedia.org/wiki/World_Heritage_Committee']",0,0,0,1,0,1,4,0
How old was Stephen Baldwin when Hailey and Justin got married?,52,https://en.wikipedia.org/wiki/Hailey_Bieber,https://en.wikipedia.org/wiki/Stephen_Baldwin,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Hailey_Bieber', 'https://en.wikipedia.org/wiki/Stephen_Baldwin']",0,1,0,0,0,1,2,0
What was the running time of the first cartoon in the series that inspired the name of the Looney Tunes franchise?,5 minutes and 31 seconds,https://en.wikipedia.org/wiki/Looney_Tunes,https://en.wikipedia.org/wiki/Silly_Symphony,,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Looney_Tunes', 'https://en.wikipedia.org/wiki/Silly_Symphony']",1,0,0,1,0,2,2,0
"The state, whose motto was adopted March 26, 1928, has 0.94% of the population in 2024 speaking a language that is native to which country?",Philippines,https://en.wikipedia.org/wiki/List_of_U.S._state_and_territory_mottos,https://en.wikipedia.org/wiki/New_Jersey,https://en.wikipedia.org/wiki/Tagalog_language,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_U.S._state_and_territory_mottos', 'https://en.wikipedia.org/wiki/New_Jersey', 'https://en.wikipedia.org/wiki/Tagalog_language']",1,0,0,1,0,2,3,0
This individual won a Best Director Award at the 33rd Japan Academy Prize ceremony and is known for having directed a film that briefly surpassed the Godfather as the highest-grossing film in Japan for a short time. Which film was longer - The Godfather or his film - and by how many minutes?,The Godfather (1972) was longer than Submersion in Japan (1973) by 32 minutes.,https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize,https://en.wikipedia.org/wiki/Daisaku_Kimura,https://en.wikipedia.org/wiki/Submersion_of_Japan,https://en.wikipedia.org/wiki/The_Godfather,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Japan_Academy_Film_Prize', 'https://en.wikipedia.org/wiki/Daisaku_Kimura', 'https://en.wikipedia.org/wiki/Submersion_of_Japan', 'https://en.wikipedia.org/wiki/The_Godfather']",1,1,0,1,0,3,4,0
"How many films had the actress who played Trudi Frazer in ""Once Upon a Time in Hollywood"" acted in before?",3,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,https://en.wikipedia.org/wiki/Julia_Butters,,,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood', 'https://en.wikipedia.org/wiki/Julia_Butters']",1,1,0,0,1,3,2,0
"The latest game, as of August 4, 2024, from the creator of Kirby won an award at The Game Awards. What won Game of the Year the following year?",The Last of Us Part II,https://en.wikipedia.org/wiki/Kirby_(series),https://en.wikipedia.org/wiki/Masahiro_Sakurai,https://en.wikipedia.org/wiki/Super_Smash_Bros._Ultimate,https://en.wikipedia.org/wiki/The_Game_Awards_2020,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Kirby_(series)', 'https://en.wikipedia.org/wiki/Masahiro_Sakurai', 'https://en.wikipedia.org/wiki/Super_Smash_Bros._Ultimate', 'https://en.wikipedia.org/wiki/The_Game_Awards_2020']",1,0,0,0,0,1,4,0
"What was the Enhanced Fujita Scale rating of the 2011 tornado that hit the hometown of the band who had a controversial interview with Bryan Odell on June 3, 2012?  ","EF5- Joplin, Missouri",https://en.wikipedia.org/wiki/BryanStars,https://en.wikipedia.org/wiki/Never_Shout_Never,https://en.wikipedia.org/wiki/2011_Joplin_tornado,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/BryanStars', 'https://en.wikipedia.org/wiki/Never_Shout_Never', 'https://en.wikipedia.org/wiki/2011_Joplin_tornado']",1,0,0,0,0,1,3,0
Which MP standing as the leader of a major party in the 2019 United Kingdom General Election was also an MP for Henley?,Boris Johnson was leader of the Conservative Party and a former MP for Henley.,https://en.wikipedia.org/wiki/2019_United_Kingdom_general_election,https://en.wikipedia.org/wiki/Boris_Johnson,https://en.wikipedia.org/wiki/Jeremy_Corbyn,https://en.wikipedia.org/wiki/Nicola_Sturgeon,https://en.wikipedia.org/wiki/Jo_Swinson,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/2019_United_Kingdom_general_election', 'https://en.wikipedia.org/wiki/Boris_Johnson', 'https://en.wikipedia.org/wiki/Jeremy_Corbyn', 'https://en.wikipedia.org/wiki/Nicola_Sturgeon', 'https://en.wikipedia.org/wiki/Jo_Swinson']",1,0,0,0,0,1,5,0
"As of August 3, 2024, how much taller was the tsunami wave of the most powerful earthquake in North America than the most powerful earthquake ever recorded in Japan?",26.5 meters of 87 feet,https://en.wikipedia.org/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami#Nuclear_power_plants,https://en.wikipedia.org/wiki/Lists_of_earthquakes#Largest_earthquakes_by_magnitude,https://en.wikipedia.org/wiki/1964_Alaska_earthquake,,,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami#Nuclear_power_plants', 'https://en.wikipedia.org/wiki/Lists_of_earthquakes#Largest_earthquakes_by_magnitude', 'https://en.wikipedia.org/wiki/1964_Alaska_earthquake']",0,1,0,1,0,2,3,0
"How old would the 1975 winner of the Lenore Marshall Poetry Prize have been if they were still alive on the date when Rupi Kaur released her book titled, ""Milk and Honey""?",90,https://en.wikipedia.org/wiki/List_of_winners_of_the_Lenore_Marshall_Poetry_Prize,https://en.wikipedia.org/wiki/Cid_Corman,https://en.wikipedia.org/wiki/Milk_and_Honey_(poetry_collection),,,,,,,,,Numerical reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_winners_of_the_Lenore_Marshall_Poetry_Prize', 'https://en.wikipedia.org/wiki/Cid_Corman', 'https://en.wikipedia.org/wiki/Milk_and_Honey_(poetry_collection)']",1,1,1,0,1,4,3,0
A united states island that is only 90 miles away from Cuba has been the home of several famous people. In what year did the famous author who owns a book store there first start writing?,1959,"https://en.wikipedia.org/wiki/Key_West#:~:text=The%20southernmost%20location%20that%20the,apart%20at%20their%20closest%20points.",https://en.wikipedia.org/wiki/Judy_Blume,,,,,,,,,,Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Key_West#:~:text=The%20southernmost%20location%20that%20the,apart%20at%20their%20closest%20points.', 'https://en.wikipedia.org/wiki/Judy_Blume']",0,0,1,0,1,2,2,0
"As of August 3, 2024, which rabbi worked for both Reform Congregation Keneseth Israel in Philadelphia and Congregation Beth Israel in West Hartford, Connecticut?",Abraham J. Feldman worked for both congregations serving as an interim associate rabbi at the Reform Congregation Keneseth Israel and the leader of the Congregation Beth Israel.,https://en.wikipedia.org/wiki/Reform_Congregation_Keneseth_Israel_(Philadelphia),"https://en.wikipedia.org/wiki/Congregation_Beth_Israel_(West_Hartford,_Connecticut)",,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Reform_Congregation_Keneseth_Israel_(Philadelphia)', 'https://en.wikipedia.org/wiki/Congregation_Beth_Israel_(West_Hartford,_Connecticut)']",1,0,0,0,0,1,2,0
How many of Hitler's three couriers of his last will and other political documents died after 1980?,1,https://en.wikipedia.org/wiki/Last_will_and_testament_of_Adolf_Hitler,https://en.wikipedia.org/wiki/Willy_Johannmeyer,https://en.wikipedia.org/wiki/Wilhelm_Zander,https://en.wikipedia.org/wiki/Heinz_Lorenz,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Last_will_and_testament_of_Adolf_Hitler', 'https://en.wikipedia.org/wiki/Willy_Johannmeyer', 'https://en.wikipedia.org/wiki/Wilhelm_Zander', 'https://en.wikipedia.org/wiki/Heinz_Lorenz']",0,0,0,0,1,1,4,0
"As of August 2024, the Atlanta Braves beat the Houston Astros the last time they won the World Series. How many years before this did Jackie Robinson join the Brooklyn Dodgers?",74 years,https://en.wikipedia.org/wiki/List_of_World_Series_champions#World_Series_results,https://en.wikipedia.org/wiki/2021_Atlanta_Braves_season,https://en.wikipedia.org/wiki/2021_Houston_Astros_season,https://en.wikipedia.org/wiki/Jackie_Robinson,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_World_Series_champions#World_Series_results', 'https://en.wikipedia.org/wiki/2021_Atlanta_Braves_season', 'https://en.wikipedia.org/wiki/2021_Houston_Astros_season', 'https://en.wikipedia.org/wiki/Jackie_Robinson']",0,1,0,0,1,2,4,0
"The quarterback who was selected first overall in the 1998 NFL draft, won the Superbowl with 2 different teams, both named after what type of animal?",A horse,https://en.wikipedia.org/wiki/1998_NFL_draft#Player_selections,https://en.wikipedia.org/wiki/Peyton_Manning,https://en.wikipedia.org/wiki/Colt,https://en.wikipedia.org/w/index.php?title=Bronco&redirect=no,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/1998_NFL_draft#Player_selections', 'https://en.wikipedia.org/wiki/Peyton_Manning', 'https://en.wikipedia.org/wiki/Colt', 'https://en.wikipedia.org/w/index.php?title=Bronco&redirect=no']",0,0,0,1,0,1,4,0
"As of 2024, what percentage of Afroasiatic language speakers speak Central Atlas Tamazight?",0.49%,https://en.wikipedia.org/wiki/Afroasiatic_languages,https://en.wikipedia.org/wiki/Central_Atlas_Tamazight,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Afroasiatic_languages', 'https://en.wikipedia.org/wiki/Central_Atlas_Tamazight']",0,1,0,0,0,1,2,0
"If you take the height of the Eiffel Tower in metres, add the number of arrondissements in Paris and subtract the street number of the official residence of the French prime minister, is the final answer a prime number?",Yes,https://en.wikipedia.org/wiki/Eiffel_Tower,https://en.wikipedia.org/wiki/Arrondissements_of_Paris,https://en.wikipedia.org/wiki/H%C3%B4tel_Matignon,,,,,,,,,Numerical reasoning | Post processing,"['https://en.wikipedia.org/wiki/Eiffel_Tower', 'https://en.wikipedia.org/wiki/Arrondissements_of_Paris', 'https://en.wikipedia.org/wiki/H%C3%B4tel_Matignon']",0,1,1,0,0,2,3,0
"As of the financial year ending July 31st 2023, what was the size of the endowment at the university attended by rugby player Fred McLeod?",£559.8 million,https://en.wikipedia.org/wiki/Fred_McLeod_(rugby_union),https://en.wikipedia.org/wiki/University_of_Edinburgh,,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Fred_McLeod_(rugby_union)', 'https://en.wikipedia.org/wiki/University_of_Edinburgh']",0,0,0,1,0,1,2,0
What medal was the captain of The RMS Titanic awarded by King Edward VII?,The Transport Medal,https://en.wikipedia.org/wiki/Titanic,https://en.wikipedia.org/wiki/Edward_Smith_(sea_captain),,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Titanic', 'https://en.wikipedia.org/wiki/Edward_Smith_(sea_captain)']",1,0,0,0,0,1,2,0
"I am thinking of a province that has the smallest land area in it's particular country, but also has the the 10th largest population.  This country has 10 provinces.  This province joined the country in 1873.  What is the scientific name of the provincial flower?",Cypripedium Acaule,https://en.wikipedia.org/wiki/Province,https://en.wikipedia.org/wiki/Provinces_and_territories_of_Canada,https://en.wikipedia.org/wiki/Prince_Edward_Island,https://en.wikipedia.org/wiki/Cypripedium_acaule,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Province', 'https://en.wikipedia.org/wiki/Provinces_and_territories_of_Canada', 'https://en.wikipedia.org/wiki/Prince_Edward_Island', 'https://en.wikipedia.org/wiki/Cypripedium_acaule']",1,1,0,1,0,3,4,0
"In square KM, how much bigger is the total area of La Casita-Garciasville, Texas compared to that of the independent state that was recognised in the 1929 Lateran Treaty?",10.81,"https://en.wikipedia.org/wiki/La_Casita-Garciasville,_Texas",https://en.wikipedia.org/wiki/Lateran_Treaty,https://en.wikipedia.org/wiki/Vatican_City,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/La_Casita-Garciasville,_Texas', 'https://en.wikipedia.org/wiki/Lateran_Treaty', 'https://en.wikipedia.org/wiki/Vatican_City']",1,0,0,1,0,2,3,0
How many days after the United States release of the record holder for largest sweep at the 2004 Oscars was the death of that movie's cinematographer?,4149 days,https://en.wikipedia.org/wiki/List_of_Academy_Award_records,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,https://en.wikipedia.org/wiki/Andrew_Lesnie,,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_Academy_Award_records', 'https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King', 'https://en.wikipedia.org/wiki/Andrew_Lesnie']",1,1,0,0,1,3,3,0
What films did Big Hit Music's 7-member boy group release in the year that the company's 5-member boy group first debuted?,Love Yourself in Seoul (2019) and Bring the Soul: The Movie (2019),https://en.wikipedia.org/wiki/Big_Hit_Music#Groups,https://en.wikipedia.org/wiki/BTS#,https://en.wikipedia.org/wiki/Tomorrow_X_Together,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Big_Hit_Music#Groups', 'https://en.wikipedia.org/wiki/BTS#', 'https://en.wikipedia.org/wiki/Tomorrow_X_Together']",1,0,0,0,1,2,3,0
What is the etymology of the name of the province to the east of the province in which Hazrati Sultan District is located?,"The Dari name 'Baghlan' comes from the Bactrian 'Bagolango', meaning 'image-temple'",https://en.wikipedia.org/wiki/Hazrati_Sultan_District,https://en.wikipedia.org/wiki/Samangan_Province,https://en.wikipedia.org/wiki/Baghlan_Province,https://en.wikipedia.org/wiki/Kushan_Empire,https://en.wikipedia.org/wiki/Bactrian_language,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Hazrati_Sultan_District', 'https://en.wikipedia.org/wiki/Samangan_Province', 'https://en.wikipedia.org/wiki/Baghlan_Province', 'https://en.wikipedia.org/wiki/Kushan_Empire', 'https://en.wikipedia.org/wiki/Bactrian_language']",1,0,0,0,0,1,5,0
"On March 3rd during the year of Mariah Carey's birth, a famous space launch occurred and the mission lasted for how many days?",10 days,https://en.wikipedia.org/wiki/Mariah_Carey,https://en.wikipedia.org/wiki/1969,https://en.wikipedia.org/wiki/Apollo_9,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Mariah_Carey', 'https://en.wikipedia.org/wiki/1969', 'https://en.wikipedia.org/wiki/Apollo_9']",1,0,0,0,0,1,3,0
Which president of the United States is represented by the sum of the ordinal numbers of the presidencies of the four men depicted on Mount Rushmore?,Joe Biden,https://en.wikipedia.org/wiki/Mount_Rushmore#History,https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Thomas_Jefferson,https://en.wikipedia.org/wiki/Theodore_Roosevelt,https://en.wikipedia.org/wiki/Abraham_Lincoln,https://en.wikipedia.org/wiki/Presidency_of_Joe_Biden,https://en.wikipedia.org/wiki/Ordinal_number,,,,,Numerical reasoning | Post processing,"['https://en.wikipedia.org/wiki/Mount_Rushmore#History', 'https://en.wikipedia.org/wiki/George_Washington', 'https://en.wikipedia.org/wiki/Thomas_Jefferson', 'https://en.wikipedia.org/wiki/Theodore_Roosevelt', 'https://en.wikipedia.org/wiki/Abraham_Lincoln', 'https://en.wikipedia.org/wiki/Presidency_of_Joe_Biden', 'https://en.wikipedia.org/wiki/Ordinal_number']",0,1,1,0,0,2,7,0
"What is the name of the play written in May 2016 by a playwright who won the MacArthur Fellowship the same year as the poet who wrote ""Postcolonial Love Poem""?",Skeleton Crew,https://en.wikipedia.org/wiki/Postcolonial_Love_Poem,https://en.wikipedia.org/wiki/Natalie_Diaz,https://en.wikipedia.org/wiki/MacArthur_Fellows_Program#,https://en.wikipedia.org/wiki/Dominique_Morisseau,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Postcolonial_Love_Poem', 'https://en.wikipedia.org/wiki/Natalie_Diaz', 'https://en.wikipedia.org/wiki/MacArthur_Fellows_Program#', 'https://en.wikipedia.org/wiki/Dominique_Morisseau']",1,0,0,0,1,2,4,0
"As of August 5, 2024, what is the name of the federal law that was found to be violated by the company that Brian Bergstein is employed by?",The Sherman Antitrust Act,https://en.wikipedia.org/wiki/Brian_Bergstein,https://en.wikipedia.org/wiki/Associated_Press,https://en.wikipedia.org/wiki/Associated_Press_v._United_States,https://en.wikipedia.org/wiki/Sherman_Antitrust_Act,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Brian_Bergstein', 'https://en.wikipedia.org/wiki/Associated_Press', 'https://en.wikipedia.org/wiki/Associated_Press_v._United_States', 'https://en.wikipedia.org/wiki/Sherman_Antitrust_Act']",1,0,0,0,0,1,4,0
How many more votes did the Conservatives receive in the Highlands and Islands region in the 2021 Scottish Parliamentary Elections than in 2016?,"16,086",https://en.wikipedia.org/wiki/2021_Scottish_Parliament_election,https://en.wikipedia.org/wiki/2016_Scottish_Parliament_election,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/2021_Scottish_Parliament_election', 'https://en.wikipedia.org/wiki/2016_Scottish_Parliament_election']",0,1,0,0,0,1,2,0
"As of July 1, 2023, what is the total number of letters in the names of the capital cities of the 5 most populated countries in the world?",43,https://en.wikipedia.org/wiki/List_of_countries_by_population_(United_Nations),https://en.wikipedia.org/wiki/India,https://en.wikipedia.org/wiki/China,https://en.wikipedia.org/wiki/United_States,https://en.wikipedia.org/wiki/Indonesia,https://en.wikipedia.org/wiki/Pakistan,,,,,,Numerical reasoning | Post processing,"['https://en.wikipedia.org/wiki/List_of_countries_by_population_(United_Nations)', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/Indonesia', 'https://en.wikipedia.org/wiki/Pakistan']",0,1,1,0,0,2,6,0
"Where was the rapper behind the song ""Hind's Hall"" born? ","Seattle, Washington",https://en.wikipedia.org/wiki/Hind%27s_Hall,https://en.wikipedia.org/wiki/Macklemore,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Hind%27s_Hall', 'https://en.wikipedia.org/wiki/Macklemore']",1,0,0,0,0,1,2,0
What Pink Floyd album came out the year Pablo Picasso died?,Dark Side of the Moon,https://en.wikipedia.org/wiki/Pablo_Picasso,https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon']",1,0,0,0,0,1,2,0
Stamatios Krimigis was named after an asteroid by the IAU. The observing site that found this asteroid is part of a large observatory known for discovering a planet. What is the difference in years between the discovery of this asteroid and the discovery of the planet?,49 years,https://en.wikipedia.org/wiki/Stamatios_Krimigis,https://en.wikipedia.org/wiki/List_of_minor_planets:_8001%E2%80%939000#323c,https://en.wikipedia.org/wiki/Anderson_Mesa_Station,https://en.wikipedia.org/wiki/Lowell_Observatory,https://en.wikipedia.org/wiki/Pluto,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/Stamatios_Krimigis', 'https://en.wikipedia.org/wiki/List_of_minor_planets:_8001%E2%80%939000#323c', 'https://en.wikipedia.org/wiki/Anderson_Mesa_Station', 'https://en.wikipedia.org/wiki/Lowell_Observatory', 'https://en.wikipedia.org/wiki/Pluto']",0,1,0,1,0,2,5,0
On what station did the television show that started in 1993 and had a star who shared a name with the third wife of King Henry VIII first run?,CBS,https://en.wikipedia.org/wiki/Jane_Seymour,https://en.wikipedia.org/wiki/Jane_Seymour_(actress),"https://en.wikipedia.org/wiki/Dr._Quinn,_Medicine_Woman",,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Jane_Seymour', 'https://en.wikipedia.org/wiki/Jane_Seymour_(actress)', 'https://en.wikipedia.org/wiki/Dr._Quinn,_Medicine_Woman']",1,0,0,1,0,2,3,0
